Time	TOPUPCC:rdCur [mA]	TOPUPCC:rdCurrentB [mA]	PAHB:sDelay [ns]	PAHB:pDelay [ns]	TOPUPCC:rdEffBoostRraw [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	LINAC1C:rdHVS_C [µA]	
09/04/2017 07:10:31.341807	20.2914	0.699353	0	-0.0700784	73.453	0.795287	0.73453	-3.99307	
09/04/2017 07:10:31.841492	20.2914	1.15182	0	-0.0700784	73.3565	0.733565	0.73453	-3.81947	
09/04/2017 07:10:32.340757	20.2914	1.14961	0	-0.0700784	73.3565	0.733565	0.73453	-3.99307	
09/04/2017 07:10:32.840357	20.2914	1.14961	0	-0.0700784	73.3565	0.733565	0.73453	-3.81947	
09/04/2017 07:10:33.340331	20.6523	1.1356	0	-0.0700784	73.3565	0.733565	0.797701	-3.81947	
09/04/2017 07:10:33.839981	20.6523	1.1356	0	-0.0700784	79.7701	0.798643	0.797701	-3.81947	
09/04/2017 07:10:34.339396	20.6527	1.13868	0	-0.0700784	79.7701	0.798643	0.797701	-3.81947	
09/04/2017 07:10:34.838751	20.6527	1.17286	0	-0.0700784	79.7701	0.798643	0.797701	-3.99307	
09/04/2017 07:10:35.337867	0.0414965	1.17363	0	-0.0700784	-1	0.798643	-1	-3.81947	
09/04/2017 07:10:35.837707	0.0414965	1.17853	0	-0.0700784	-1	-1	-1	-3.99307	
09/04/2017 07:10:36.337651	0.0399863	1.15293	0	-0.0700784	-1	-1	-1	-3.81947	
09/04/2017 07:10:36.837690	0.0399863	1.15293	0	-0.0700784	-1	-1	-1	-3.81947	
09/04/2017 07:10:37.336767	0.0413618	1.13177	0	-0.0700784	-1	-1	-1	-3.81947	
09/04/2017 07:10:37.836529	0.0413618	1.13177	0	-0.0700784	-1	-1	-1	-3.6458	
09/04/2017 07:10:38.336515	0.0414701	1.13318	0	-0.0700784	-1	-1	-1	-3.81947	
09/04/2017 07:10:38.836423	0.0414701	1.13399	0	-0.0700784	-1	-1	-1	-3.81947	
09/04/2017 07:10:39.335605	0.395595	1.13799	0	-0.0700784	-1	-1	0.768035	-3.81947	
09/04/2017 07:10:39.835268	0.395595	1.14691	0	-0.0700784	76.8035	0.775812	0.768035	-3.81947	
09/04/2017 07:10:40.334372	0.396463	1.14994	0	-0.0700784	76.8035	0.775812	0.768035	-3.81947	
09/04/2017 07:10:40.833721	0.396463	1.15574	0	-0.0700784	76.8035	0.775812	0.768035	-3.99307	
09/04/2017 07:10:41.333114	0.570216	0.559392	0	-0.0700784	77.0821	0.775812	0.770821	-3.99307	
09/04/2017 07:10:41.832224	0.570216	0.559392	0	-0.0700784	77.0821	0.779982	0.770821	-3.99307	
09/04/2017 07:10:42.332130	0.571166	0.562217	0	-0.0700784	77.0821	0.779982	0.770821	-3.99307	
09/04/2017 07:10:42.831305	0.571166	0.562217	0	-0.0700784	77.0821	0.779982	0.770821	-3.81947	
09/04/2017 07:10:43.331259	0.759134	0.563107	0	-0.0700784	77.9982	0.779982	0.807414	-3.81947	
09/04/2017 07:10:43.830626	0.759134	0.57698	0	-0.0700784	80.7414	0.813601	0.807414	-3.81947	
09/04/2017 07:10:44.330009	0.759531	0.567235	0	-0.0700784	80.7414	0.813601	0.807414	-3.81947	
09/04/2017 07:10:44.829283	0.759531	0.567235	0	-0.0700784	80.7414	0.813601	0.807414	-3.81947	
