Time	TOPUPCC:rdCur [mA]	TOPUPCC:rdCurrentB [mA]	PAHB:sDelay [ns]	PAHB:pDelay [ns]	TOPUPCC:rdEffBoostRraw [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	
09/04/2017 04:51:22.087774	6.06892	0.56762	0.1	0.0259987	84.6422	0.846422	0.846488	
09/04/2017 04:51:23.086799	6.24697	0.582811	0.1	0.0259987	84.6422	0.846422	0.846488	
09/04/2017 04:51:24.085950	6.24635	0.559865	0.1	0.0259987	77.5318	0.775318	0.781538	
09/04/2017 04:51:25.085414	6.44162	0.558782	0.1	0.0259987	77.5318	0.775318	0.851279	
09/04/2017 04:51:26.085130	6.4416	0.574448	0.1	0.0259987	84.2688	0.842688	0.851279	
09/04/2017 04:51:27.084292	6.63355	0.563293	0.1	0.0259987	84.2688	0.842688	0.847768	
09/04/2017 04:51:28.083969	6.6342	0.559683	0.15	0.0259987	84.1552	0.841552	0.847768	
09/04/2017 04:51:29.083291	6.81907	0.561902	0.15	0.0572179	79.3125	0.841552	0.793125	
09/04/2017 04:51:30.082924	6.81975	0.569552	0.15	0.078447	79.3125	0.802267	0.793125	
09/04/2017 04:51:31.082007	6.97819	0.554086	0.15	0.078447	71.2686	0.802267	0.712686	
09/04/2017 04:51:32.081092	6.97843	0.553504	0.15	0.078447	71.2686	0.735609	0.712686	
09/04/2017 04:51:33.080674	7.1345	0.557299	0.15	0.078447	69.4478	0.735609	0.694478	
09/04/2017 04:51:34.080648	7.13304	0.562246	0.15	0.078447	69.4478	0.701359	0.694478	
09/04/2017 04:51:35.080164	7.28381	0.558961	0.15	0.078447	67.4778	0.701359	0.674778	
09/04/2017 04:51:36.079184	7.28292	0.565203	0.15	0.078447	67.0705	0.670705	0.674778	
09/04/2017 04:51:37.078569	7.42539	0.573447	0.15	0.078447	62.5063	0.670705	0.625063	
09/04/2017 04:51:38.077606	7.42589	0.295866	0.2	0.078447	62.5063	0.629299	0.625063	
09/04/2017 04:51:39.077523	7.42589	0.293289	0.2	0.10873	62.9299	0.629299	0.686354	
09/04/2017 04:51:40.077661	7.5816	0.565855	0.2	0.130895	68.6354	0.694002	0.686354	
09/04/2017 04:51:41.077617	7.5816	0.565515	0.2	0.130895	49.5315	0.694002	0.495315	
09/04/2017 04:51:42.077214	7.69343	0.565257	0.2	0.130895	49.0287	0.490287	0.495315	
09/04/2017 04:51:43.076262	7.7988	0.559533	0.2	0.130895	46.6407	0.490287	0.466407	
09/04/2017 04:51:44.076103	7.79951	0.560753	0.2	0.130895	46.6407	0.477624	0.466407	
09/04/2017 04:51:45.075697	7.91132	0.569556	0.2	0.130895	47.3146	0.477624	0.473146	
09/04/2017 04:51:46.075005	7.91087	0.571235	0.2	0.130895	47.3146	0.476204	0.473146	
09/04/2017 04:51:47.074610	8.01556	0.575441	0.2	0.130895	45.0988	0.476204	0.450988	
09/04/2017 04:51:48.074582	8.01454	0.580372	0.25	0.130895	43.7949	0.437949	0.450988	
09/04/2017 04:51:49.073977	8.12654	0.578369	0.25	0.161412	43.7949	0.437949	0.485172	
09/04/2017 04:51:50.073971	8.12554	0.579688	0.25	0.182875	47.8632	0.478632	0.485172	
09/04/2017 04:51:51.073353	8.17909	0.581926	0.25	0.182875	23.2353	0.478632	0.232353	
